Wavenumber(cm-1),Transmittance(%),Absorbance(A.U.)
1.955000000000000000e+02,9.779884600003529727e+01,2.009666269739736499e+00
1.960000000000000000e+02,9.784216635891935709e+01,2.009473939993554392e+00
1.965000000000000000e+02,9.788487853656270943e+01,2.009284393746995079e+00
1.970000000000000000e+02,9.792697260681839566e+01,2.009097671415249309e+00
1.975000000000000000e+02,9.796843972259169675e+01,2.008913808611974439e+00
1.980000000000000000e+02,9.800927207725739265e+01,2.008732836332951965e+00
1.985000000000000000e+02,9.804946288278320310e+01,2.008554781064859185e+00
1.990000000000000000e+02,9.808900636048262811e+01,2.008379664837440348e+00
1.995000000000000000e+02,9.812789774050125402e+01,2.008207505236469181e+00
2.000000000000000000e+02,9.816613326630734093e+01,2.008038315394117923e+00
2.005000000000000000e+02,9.820371020061800493e+01,2.007872103972557554e+00
2.010000000000000000e+02,9.824062682936252600e+01,2.007708875155831407e+00
2.015000000000000000e+02,9.827688246047981124e+01,2.007548628664129975e+00
2.020000000000000000e+02,9.831247741458555822e+01,2.007391359803491149e+00
2.025000000000000000e+02,9.834741300484753879e+01,2.007237059562602344e+00
2.030000000000000000e+02,9.838169150378891459e+01,2.007085714766660978e+00
2.035000000000000000e+02,9.841531609521777568e+01,2.006937308296114608e+00
2.040000000000000000e+02,9.844829081006197669e+01,2.006791819375554731e+00
2.045000000000000000e+02,9.848062044557498496e+01,2.006649223934978021e+00
2.050000000000000000e+02,9.851231046815944126e+01,2.006509495042223534e+00
2.055000000000000000e+02,9.854336690091106732e+01,2.006372603401613386e+00
2.060000000000000000e+02,9.857379619787921854e+01,2.006238517909932018e+00
2.065000000000000000e+02,9.860360510792868638e+01,2.006107206256984909e+00
2.070000000000000000e+02,9.863280053191023455e+01,2.005978635554396039e+00
2.075000000000000000e+02,9.866138937754469396e+01,2.005852772973286680e+00
2.080000000000000000e+02,9.868937841693339408e+01,2.005729586369275452e+00
2.085000000000000000e+02,9.871677415186938731e+01,2.005609044872144420e+00
2.090000000000000000e+02,9.874358269209787409e+01,2.005491119417670998e+00
2.095000000000000000e+02,9.876980965133597579e+01,2.005375783200658013e+00
2.100000000000000000e+02,9.879546006521589163e+01,2.005263012031057723e+00
2.105000000000000000e+02,9.882053833439026391e+01,2.005152784579183667e+00
2.110000000000000000e+02,9.884504819489069405e+01,2.005045082501052178e+00
2.115000000000000000e+02,9.886899271653851429e+01,2.004939890440575745e+00
2.120000000000000000e+02,9.889237432886349666e+01,2.004837195911207015e+00
2.125000000000000000e+02,9.891519487268895716e+01,2.004736989065317054e+00
2.130000000000000000e+02,9.893745567438368482e+01,2.004639262364635410e+00
2.135000000000000000e+02,9.895915763884026717e+01,2.004544010169158508e+00
2.140000000000000000e+02,9.898030135657148776e+01,2.004451228264841678e+00
2.145000000000000000e+02,9.900088721995169294e+01,2.004360913351917795e+00
2.150000000000000000e+02,9.902091554356964309e+01,2.004273062515925741e+00
2.155000000000000000e+02,9.904038668388137978e+01,2.004187672702510525e+00
2.160000000000000000e+02,9.905930115381154621e+01,2.004104740214999403e+00
2.165000000000000000e+02,9.907765972859314729e+01,2.004024260250932610e+00
2.170000000000000000e+02,9.909546353989439638e+01,2.003946226490367355e+00
2.175000000000000000e+02,9.911271415609458302e+01,2.003870630745215209e+00
2.180000000000000000e+02,9.912941364738021832e+01,2.003797462675305674e+00
2.185000000000000000e+02,9.914556463509079265e+01,2.003726709573565135e+00
2.190000000000000000e+02,9.916117032541460219e+01,2.003658356219764514e+00
2.195000000000000000e+02,9.917623452809661444e+01,2.003592384799834925e+00
2.200000000000000000e+02,9.919076166126035332e+01,2.003528774885853903e+00
2.205000000000000000e+02,9.920475674376453412e+01,2.003467503470407696e+00
2.210000000000000000e+02,9.921822537671977216e+01,2.003408545048175338e+00
2.215000000000000000e+02,9.923117371589250979e+01,2.003351871737132583e+00
2.220000000000000000e+02,9.924360843674143950e+01,2.003297453431721831e+00
2.225000000000000000e+02,9.925553669378007271e+01,2.003245257980568184e+00
2.230000000000000000e+02,9.926696607585822107e+01,2.003195251381776121e+00
2.235000000000000000e+02,9.927790455881863352e+01,2.003147397989445189e+00
2.240000000000000000e+02,9.928836045682828626e+01,2.003101660725738586e+00
2.245000000000000000e+02,9.929834237351742843e+01,2.003058001293573476e+00
2.250000000000000000e+02,9.930785915389341767e+01,2.003016380385724826e+00
2.255000000000000000e+02,9.931691983783632338e+01,2.002976757886846482e+00
2.260000000000000000e+02,9.932553361583485696e+01,2.002939093065551734e+00
2.265000000000000000e+02,9.933370978748688174e+01,2.002903344754295212e+00
2.270000000000000000e+02,9.934145772316939826e+01,2.002869471515309918e+00
2.275000000000000000e+02,9.934878682917992876e+01,2.002837431791304024e+00
2.280000000000000000e+02,9.935570651656294672e+01,2.002807184040007016e+00
2.285000000000000000e+02,9.936222617376043331e+01,2.002778686851983014e+00
2.290000000000000000e+02,9.936835514316422291e+01,2.002751899051383511e+00
2.295000000000000000e+02,9.937410270159573145e+01,2.002726779779548050e+00
2.300000000000000000e+02,9.937947804469635571e+01,2.002703288561541228e+00
2.305000000000000000e+02,9.938449027517476964e+01,2.002681385355868038e+00
2.310000000000000000e+02,9.938914839482679042e+01,2.002661030587752578e+00
2.315000000000000000e+02,9.939346130021372971e+01,2.002642185166478850e+00
2.320000000000000000e+02,9.939743778185855660e+01,2.002624810487417140e+00
2.325000000000000000e+02,9.940108652679057855e+01,2.002608868419481158e+00
2.330000000000000000e+02,9.940441612424061191e+01,2.002594321278880596e+00
2.335000000000000000e+02,9.940743507425507630e+01,2.002581131790179381e+00
2.340000000000000000e+02,9.941015179896183440e+01,2.002569263035833824e+00
2.345000000000000000e+02,9.941257465617862010e+01,2.002558678395551350e+00
2.350000000000000000e+02,9.941471195500895419e+01,2.002549341477022349e+00
2.355000000000000000e+02,9.941657197301842075e+01,2.002541216039799288e+00
2.360000000000000000e+02,9.941816297452743356e+01,2.002534265914346800e+00
2.365000000000000000e+02,9.941949322949555778e+01,2.002528454918550249e+00
2.370000000000000000e+02,9.942057103240850324e+01,2.002523746774249602e+00
2.375000000000000000e+02,9.942140472051339373e+01,2.002520105026653674e+00
2.380000000000000000e+02,9.942200269068513308e+01,2.002517492969766000e+00
2.385000000000000000e+02,9.942237341414731588e+01,2.002515873581206307e+00
2.390000000000000000e+02,9.942252544822203220e+01,2.002515209470031365e+00
2.395000000000000000e+02,9.942246744424701888e+01,2.002515462841321980e+00
2.400000000000000000e+02,9.942220815078165685e+01,2.002516595481367734e+00
2.405000000000000000e+02,9.942175641123141361e+01,2.002518568767249096e+00
2.410000000000000000e+02,9.942112115505933900e+01,2.002521343704460666e+00
2.415000000000000000e+02,9.942031138182744598e+01,2.002524880995876444e+00
2.420000000000000000e+02,9.941933613742700970e+01,2.002529141144864688e+00
2.425000000000000000e+02,9.941820448201691818e+01,2.002534084594663089e+00
2.430000000000000000e+02,9.941692544939535026e+01,2.002539671905214647e+00
2.435000000000000000e+02,9.941550799778097769e+01,2.002545863967584161e+00
2.440000000000000000e+02,9.941396095227274543e+01,2.002552622254783810e+00
2.445000000000000000e+02,9.941229293958222968e+01,2.002559909106425451e+00
2.450000000000000000e+02,9.941051231598098070e+01,2.002567688043086047e+00
2.455000000000000000e+02,9.940862708976038675e+01,2.002575924104736949e+00
2.460000000000000000e+02,9.940664483984672017e+01,2.002584584206055229e+00
2.465000000000000000e+02,9.940457263252763198e+01,2.002593637500084789e+00
2.470000000000000000e+02,9.940241693850873617e+01,2.002603055740551419e+00
2.475000000000000000e+02,9.940018355270726147e+01,2.002612813632321576e+00
2.480000000000000000e+02,9.939787751928743376e+01,2.002622889159054065e+00
2.485000000000000000e+02,9.939550306443275929e+01,2.002633263877145353e+00
2.490000000000000000e+02,9.939306353922717108e+01,2.002643923165588369e+00
2.495000000000000000e+02,9.939056137477591335e+01,2.002654856422434904e+00
2.500000000000000000e+02,9.938799805134740950e+01,2.002666057200060301e+00
2.505000000000000000e+02,9.938537408287012909e+01,2.002677523273389770e+00
2.510000000000000000e+02,9.938268901759816742e+01,2.002689256637523396e+00
2.515000000000000000e+02,9.937994145519104450e+01,2.002701263433663392e+00
2.520000000000000000e+02,9.937712907986963273e+01,2.002713553804817526e+00
2.525000000000000000e+02,9.937424870874272642e+01,2.002726141685216454e+00
2.530000000000000000e+02,9.937129635387954352e+01,2.002739044529658674e+00
2.535000000000000000e+02,9.936826729625893506e+01,2.002752282990948984e+00
2.540000000000000000e+02,9.936515616937857942e+01,2.002765880555094746e+00
2.545000000000000000e+02,9.936195705007079937e+01,2.002779863144988237e+00
2.550000000000000000e+02,9.935866355395259575e+01,2.002794258703799457e+00
2.555000000000000000e+02,9.935526893293399553e+01,2.002809096769336605e+00
2.560000000000000000e+02,9.935176617231314822e+01,2.002824408050171812e+00
2.565000000000000000e+02,9.934814808518321172e+01,2.002840224013471282e+00
2.570000000000000000e+02,9.934440740214772347e+01,2.002856576493281526e+00
2.575000000000000000e+02,9.934053685466643913e+01,2.002873497326609797e+00
2.580000000000000000e+02,9.933652925071145035e+01,2.002891018023061243e+00
2.585000000000000000e+02,9.933237754178429668e+01,2.002909169472192108e+00
2.590000000000000000e+02,9.932807488071053115e+01,2.002927981691124959e+00
2.595000000000000000e+02,9.932361466997436139e+01,2.002947483613465085e+00
2.600000000000000000e+02,9.931899060067259200e+01,2.002967702919180581e+00
2.605000000000000000e+02,9.931419668244551247e+01,2.002988665903882470e+00
2.610000000000000000e+02,9.930922726498125996e+01,2.003010397384898500e+00
2.615000000000000000e+02,9.930407705188622458e+01,2.003032920640689607e+00
2.620000000000000000e+02,9.929874110787338282e+01,2.003056257379438154e+00
2.625000000000000000e+02,9.929321486034244515e+01,2.003080427732131685e+00
2.630000000000000000e+02,9.928749409652046154e+01,2.003105450265024512e+00
2.635000000000000000e+02,9.928157495740192928e+01,2.003131342006067239e+00
2.640000000000000000e+02,9.927545392978127836e+01,2.003158118479657634e+00
2.645000000000000000e+02,9.926912783771440729e+01,2.003185793743853971e+00
2.650000000000000000e+02,9.926259383478461018e+01,2.003214380424050756e+00
2.655000000000000000e+02,9.925584939858715927e+01,2.003243889736913808e+00
2.660000000000000000e+02,9.924889232888929769e+01,2.003274331498202887e+00
2.665000000000000000e+02,9.924172075097166612e+01,2.003305714107880942e+00
2.670000000000000000e+02,9.923433312571322062e+01,2.003338044505658555e+00
2.675000000000000000e+02,9.922672826804404167e+01,2.003371328089852188e+00
2.680000000000000000e+02,9.921890537545644406e+01,2.003405568592126595e+00
2.685000000000000000e+02,9.921086406832836246e+01,2.003440767900423136e+00
2.690000000000000000e+02,9.920260444386617849e+01,2.003476925822115451e+00
2.695000000000000000e+02,9.919412714550558974e+01,2.003514039779308309e+00
2.700000000000000000e+02,9.918543344960268371e+01,2.003552104428197200e+00
2.705000000000000000e+02,9.917652537118293310e+01,2.003591111194692687e+00
2.710000000000000000e+02,9.916740579036961378e+01,2.003631047719133917e+00
2.715000000000000000e+02,9.915807860085202208e+01,2.003671897204055696e+00
2.720000000000000000e+02,9.914854888134547650e+01,2.003713637660756941e+00
2.725000000000000000e+02,9.913882309039532004e+01,2.003756241053026965e+00
2.730000000000000000e+02,9.912890928404435442e+01,2.003799672340054183e+00
2.735000000000000000e+02,9.911881735477075495e+01,2.003843888425387298e+00
2.740000000000000000e+02,9.910855928866965314e+01,2.003888837025142866e+00
2.745000000000000000e+02,9.909814943606431825e+01,2.003934455476477527e+00
2.750000000000000000e+02,9.908760478857549003e+01,2.003980669516838287e+00
2.755000000000000000e+02,9.907694525316613010e+01,2.004027392075554470e+00
2.760000000000000000e+02,9.906619391086664450e+01,2.004074522131714886e+00
2.765000000000000000e+02,9.905537724488722517e+01,2.004121943705496456e+00
2.770000000000000000e+02,9.904452531982134644e+01,2.004169525063364876e+00
2.775000000000000000e+02,9.903367189090465672e+01,2.004217118229693728e+00
2.780000000000000000e+02,9.902285442016876971e+01,2.004264558906766247e+00
2.785000000000000000e+02,9.901211397525402447e+01,2.004311666909984524e+00
2.790000000000000000e+02,9.900149498710671025e+01,2.004358247223169354e+00
2.795000000000000000e+02,9.899104484528220382e+01,2.004404091767994611e+00
2.800000000000000000e+02,9.898081331454332599e+01,2.004448981959829013e+00
2.805000000000000000e+02,9.897085176416396735e+01,2.004492692088388761e+00
2.810000000000000000e+02,9.896121221184905892e+01,2.004534993515429964e+00
2.815000000000000000e+02,9.895194619712707151e+01,2.004575659624730388e+00
2.820000000000000000e+02,9.894310351369628620e+01,2.004614471395185227e+00
2.825000000000000000e+02,9.893473084529979644e+01,2.004651223401263671e+00
2.830000000000000000e+02,9.892687036367223641e+01,2.004685729983408660e+00
2.835000000000000000e+02,9.891955835813179476e+01,2.004717831282176732e+00
2.840000000000000000e+02,9.891282397270231286e+01,2.004747398801889346e+00
2.845000000000000000e+02,9.890668812679609800e+01,2.004774340168708591e+00
2.850000000000000000e+02,9.890116268866498217e+01,2.004798602777914329e+00
2.855000000000000000e+02,9.889624995710795474e+01,2.004820176085453376e+00
2.860000000000000000e+02,9.889194248734808923e+01,2.004839092385004129e+00
2.865000000000000000e+02,9.888822327348653118e+01,2.004855426015336395e+00
2.870000000000000000e+02,9.888506627505294944e+01,2.004869291052443714e+00
2.875000000000000000e+02,9.888243725166722697e+01,2.004880837644567482e+00
2.880000000000000000e+02,9.888029485025408860e+01,2.004890247234553335e+00
2.885000000000000000e+02,9.887859187553461027e+01,2.004897726974510963e+00
2.890000000000000000e+02,9.887727666769950474e+01,2.004903503667860853e+00
2.895000000000000000e+02,9.887629451131932967e+01,2.004907817573230222e+00
2.900000000000000000e+02,9.887558900586290633e+01,2.004910916376854590e+00
2.905000000000000000e+02,9.887510333923275141e+01,2.004913049591510177e+00
2.910000000000000000e+02,9.887478141970274237e+01,2.004914463578432837e+00
2.915000000000000000e+02,9.887456883674556707e+01,2.004915397322135195e+00
2.920000000000000000e+02,9.887441363587410592e+01,2.004916079023565167e+00
2.925000000000000000e+02,9.887426690557961706e+01,2.004916723519973853e+00
