Wavenumber(cm-1),Absorbance(A.U.)
6.150000000000000000e+02,1.000839345555437632e-02
6.160000000000000000e+02,1.081589387755554910e-02
6.170000000000000000e+02,1.166312736940544603e-02
6.180000000000000000e+02,1.254936617761903683e-02
6.190000000000000000e+02,1.347355477997358442e-02
6.200000000000000000e+02,1.443429257222206274e-02
6.210000000000000000e+02,1.542981897160133897e-02
6.220000000000000000e+02,1.645800135202701853e-02
6.230000000000000000e+02,1.751632622356380509e-02
6.240000000000000000e+02,1.860189405920475991e-02
6.250000000000000000e+02,1.971141815430210720e-02
6.260000000000000000e+02,2.084122787743347693e-02
6.270000000000000000e+02,2.198727663531951926e-02
6.280000000000000000e+02,2.314515482806234203e-02
6.290000000000000000e+02,2.431010801404198673e-02
6.300000000000000000e+02,2.547706043610564741e-02
6.310000000000000000e+02,2.664064398234411435e-02
6.320000000000000000e+02,2.779523256622562499e-02
6.330000000000000000e+02,2.893498181305109718e-02
6.340000000000000000e+02,3.005387383392998935e-02
6.350000000000000000e+02,3.114576675659930238e-02
6.360000000000000000e+02,3.220444856673609912e-02
6.370000000000000000e+02,3.322369469679387066e-02
6.380000000000000000e+02,3.419732868508784662e-02
6.390000000000000000e+02,3.511928511949924392e-02
6.400000000000000000e+02,3.598367398169477482e-02
6.410000000000000000e+02,3.678484542314319761e-02
6.420000000000000000e+02,3.751745393744254642e-02
6.430000000000000000e+02,3.817652084819855851e-02
6.440000000000000000e+02,3.875749401116435067e-02
6.450000000000000000e+02,3.925630363604537543e-02
6.460000000000000000e+02,3.966941316898497938e-02
6.470000000000000000e+02,3.999386424183026811e-02
6.480000000000000000e+02,4.022731478833097007e-02
6.490000000000000000e+02,4.036806954863947361e-02
6.500000000000000000e+02,4.041510232893896770e-02
6.510000000000000000e+02,4.036806954863947361e-02
6.520000000000000000e+02,4.022731478833097007e-02
6.530000000000000000e+02,3.999386424183026811e-02
6.540000000000000000e+02,3.966941316898497938e-02
6.550000000000000000e+02,3.925630363604537543e-02
6.560000000000000000e+02,3.875749401116435067e-02
6.570000000000000000e+02,3.817652084819855851e-02
6.580000000000000000e+02,3.751745393744254642e-02
6.590000000000000000e+02,3.678484542314319761e-02
6.600000000000000000e+02,3.598367398169477482e-02
6.610000000000000000e+02,3.511928511949924392e-02
6.620000000000000000e+02,3.419732868508784662e-02
6.630000000000000000e+02,3.322369469679387066e-02
6.640000000000000000e+02,3.220444856673609912e-02
6.650000000000000000e+02,3.114576675659930238e-02
6.660000000000000000e+02,3.005387383392998935e-02
6.670000000000000000e+02,2.893498181305109718e-02
6.680000000000000000e+02,2.779523256622562499e-02
6.690000000000000000e+02,2.664064398234411435e-02
6.700000000000000000e+02,2.547706043610564741e-02
6.710000000000000000e+02,2.431010801404198673e-02
6.720000000000000000e+02,2.314515482806234203e-02
6.730000000000000000e+02,2.198727663531951926e-02
6.740000000000000000e+02,2.084122787743347693e-02
6.750000000000000000e+02,1.971141815430210720e-02
6.760000000000000000e+02,1.860189405920475991e-02
6.770000000000000000e+02,1.751632622356380509e-02
6.780000000000000000e+02,1.645800135202701853e-02
6.790000000000000000e+02,1.542981897160133897e-02
6.800000000000000000e+02,1.443429257222206274e-02
6.810000000000000000e+02,1.347355477997358442e-02
6.820000000000000000e+02,1.254936617761903683e-02
6.830000000000000000e+02,1.166312736940544603e-02
6.840000000000000000e+02,1.081589387755554910e-02
6.850000000000000000e+02,1.000839345555437632e-02
6.860000000000000000e+02,9.241045407500481090e-03
6.870000000000000000e+02,8.513981512556334508e-03
6.880000000000000000e+02,7.827068168136941395e-03
6.890000000000000000e+02,7.179929384128813652e-03
6.900000000000000000e+02,6.571970282456485180e-03
6.910000000000000000e+02,6.002400781010885922e-03
6.920000000000000000e+02,5.470259167741575723e-03
6.930000000000000000e+02,4.974435298995327770e-03
6.940000000000000000e+02,4.513693185450140533e-03
6.950000000000000000e+02,4.086692758760168687e-03
6.960000000000000000e+02,3.692010641845655528e-03
6.970000000000000000e+02,3.328159775241257279e-03
6.980000000000000000e+02,2.993607780686247111e-03
6.990000000000000000e+02,2.686793970859691072e-03
7.000000000000000000e+02,2.406144940577448210e-03
7.010000000000000000e+02,2.150088699577112905e-03
7.020000000000000000e+02,1.917067330053034979e-03
7.030000000000000000e+02,1.705548173149162849e-03
7.040000000000000000e+02,1.514033567588279894e-03
7.050000000000000000e+02,1.341069180355036750e-03
7.060000000000000000e+02,1.185250983876784403e-03
7.070000000000000000e+02,1.045230946372432967e-03
7.080000000000000000e+02,9.197215120473334338e-04
7.090000000000000000e+02,8.074989556230427468e-04
7.100000000000000000e+02,7.074057014095913587e-04
7.110000000000000000e+02,6.183517008666594705e-04
7.120000000000000000e+02,5.393149645076533716e-04
7.130000000000000000e+02,4.693413442293792315e-04
7.140000000000000000e+02,4.075436608872440303e-04
7.150000000000000000e+02,3.531002693566431816e-04
7.160000000000000000e+02,3.052531496312571591e-04
7.170000000000000000e+02,2.633056078855666726e-04
7.180000000000000000e+02,2.266196660773989180e-04
7.190000000000000000e+02,1.946132127526034594e-04
7.200000000000000000e+02,1.667569814256530947e-04
7.210000000000000000e+02,1.425714163978408777e-04
7.220000000000000000e+02,1.216234792715820134e-04
7.230000000000000000e+02,1.035234428861109279e-04
7.240000000000000000e+02,8.792171300298079473e-05
7.250000000000000000e+02,7.450571193912125523e-05
7.260000000000000000e+02,6.299685253075004709e-05
7.270000000000000000e+02,5.314762539043726974e-05
7.280000000000000000e+02,4.473881741517971022e-05
7.290000000000000000e+02,3.757687496452888354e-05
7.300000000000000000e+02,3.149142104996727198e-05
7.310000000000000000e+02,2.633293227538580084e-05
7.320000000000000000e+02,2.197057813146940930e-05
7.330000000000000000e+02,1.829022256094603449e-05
7.340000000000000000e+02,1.519258545545909556e-05
7.350000000000000000e+02,1.259155988253546354e-05
7.360000000000000000e+02,1.041267935630862951e-05
7.370000000000000000e+02,8.591728317242086632e-06
7.380000000000000000e+02,7.073488131448257832e-06
7.390000000000000000e+02,5.810610340439836818e-06
7.400000000000000000e+02,4.762608537767221151e-06
7.410000000000000000e+02,3.894960102224231946e-06
7.420000000000000000e+02,3.178309021967251624e-06
7.430000000000000000e+02,2.587761203542982003e-06
7.440000000000000000e+02,2.102263916281543743e-06
7.450000000000000000e+02,1.704061370899623284e-06
7.460000000000000000e+02,1.378218842607026318e-06
7.470000000000000000e+02,1.112208203979392351e-06
7.480000000000000000e+02,8.955482191375097045e-07
7.490000000000000000e+02,7.194934472654068713e-07
7.500000000000000000e+02,5.767661062083817569e-07
7.510000000000000000e+02,4.613257436059114980e-07
7.520000000000000000e+02,3.681720390780185426e-07
7.530000000000000000e+02,2.931765266112051904e-07
7.540000000000000000e+02,2.329394612754498439e-07
7.550000000000000000e+02,1.846684591910729978e-07
7.560000000000000000e+02,1.460759271321165897e-07
7.570000000000000000e+02,1.152926407677057341e-07
7.580000000000000000e+02,9.079515828069872896e-08
7.590000000000000000e+02,7.134503565708882888e-08
7.600000000000000000e+02,5.593808594106519649e-08
7.610000000000000000e+02,4.376214390866550730e-08
7.620000000000000000e+02,3.416202143391444679e-08
7.630000000000000000e+02,2.661051046182194568e-08
7.640000000000000000e+02,2.068446325331763092e-08
7.650000000000000000e+02,1.604511945529907280e-08
7.660000000000000000e+02,1.242196900896885836e-08
7.670000000000000000e+02,9.599559813722180479e-09
7.680000000000000000e+02,7.406737001502960993e-09
7.690000000000000000e+02,5.707898154128088208e-09
7.700000000000000000e+02,4.395901198606111393e-09
7.710000000000000000e+02,3.386333435884125720e-09
7.720000000000000000e+02,2.612892568976121765e-09
7.730000000000000000e+02,2.023675227391663611e-09
7.740000000000000000e+02,1.578204678054362375e-09
7.750000000000000000e+02,1.245057834609042402e-09
7.760000000000000000e+02,9.999774341906686459e-10
7.770000000000000000e+02,8.243763449655716613e-10
7.780000000000000000e+02,7.041582872346907607e-10
7.790000000000000000e+02,6.287914633418267840e-10
7.800000000000000000e+02,5.905882449752652974e-10
7.810000000000000000e+02,5.841478412094147643e-10
7.820000000000000000e+02,6.059317492201898858e-10
7.830000000000000000e+02,6.539466745891786559e-10
7.840000000000000000e+02,7.275116065130760035e-10
7.850000000000000000e+02,8.270986118219525451e-10
7.860000000000000000e+02,9.542302503717792206e-10
7.870000000000000000e+02,1.111426506383850210e-09
7.880000000000000000e+02,1.302195684615981008e-09
7.890000000000000000e+02,1.531061499804309278e-09
7.900000000000000000e+02,1.803625471197278785e-09
7.910000000000000000e+02,2.126663067869571933e-09
7.920000000000000000e+02,2.508250052102312111e-09
7.930000000000000000e+02,2.957925460123078665e-09
7.940000000000000000e+02,3.486885447046006448e-09
7.950000000000000000e+02,4.108217099840771880e-09
7.960000000000000000e+02,4.837171330152045812e-09
7.970000000000000000e+02,5.691481508307560944e-09
7.980000000000000000e+02,6.691729836916238128e-09
7.990000000000000000e+02,7.861773010375827653e-09
8.000000000000000000e+02,9.229225828022435962e-09
8.010000000000000000e+02,1.082602052449033181e-08
8.020000000000000000e+02,1.268904092910361214e-08
8.030000000000000000e+02,1.486085010604654144e-08
8.040000000000000000e+02,1.739051769256150237e-08
8.050000000000000000e+02,2.033456136807387793e-08
8.060000000000000000e+02,2.375801755327699993e-08
8.070000000000000000e+02,2.773565865865634805e-08
8.080000000000000000e+02,3.235337064921850470e-08
8.090000000000000000e+02,3.770971623850982724e-08
8.100000000000000000e+02,4.391770480616230543e-08
8.110000000000000000e+02,5.110679124342709656e-08
8.120000000000000000e+02,5.942513636725266224e-08
8.130000000000000000e+02,6.904215510417088808e-08
8.140000000000000000e+02,8.015139152384165300e-08
8.150000000000000000e+02,9.297375358485737706e-08
8.160000000000000000e+02,1.077611537780853723e-07
8.170000000000000000e+02,1.248005985221567471e-07
8.180000000000000000e+02,1.444187796018070458e-07
8.190000000000000000e+02,1.669872218279522258e-07
8.200000000000000000e+02,1.929280499801677706e-07
8.210000000000000000e+02,2.227204405347293914e-07
8.220000000000000000e+02,2.569078330072471772e-07
8.230000000000000000e+02,2.961059824002632013e-07
8.240000000000000000e+02,3.410119395752531091e-07
8.250000000000000000e+02,3.924140565825240401e-07
8.260000000000000000e+02,4.512031208658839887e-07
8.270000000000000000e+02,5.183847329170987450e-07
8.280000000000000000e+02,5.950930515030705692e-07
8.290000000000000000e+02,6.826060388043231342e-07
8.300000000000000000e+02,7.823623513480981728e-07
8.310000000000000000e+02,8.959800337215995114e-07
8.320000000000000000e+02,1.025277183375195023e-06
8.330000000000000000e+02,1.172294767926018721e-06
8.340000000000000000e+02,1.339321791915537574e-06
8.350000000000000000e+02,1.528923019300520991e-06
8.360000000000000000e+02,1.743969481715623715e-06
8.370000000000000000e+02,1.987672004322149633e-06
8.380000000000000000e+02,2.263618014364254805e-06
8.390000000000000000e+02,2.575811896221580355e-06
8.400000000000000000e+02,2.928719187833550563e-06
8.410000000000000000e+02,3.327314922474400305e-06
8.420000000000000000e+02,3.777136440064055023e-06
8.430000000000000000e+02,4.284341013072179294e-06
8.440000000000000000e+02,4.855768641620628046e-06
8.450000000000000000e+02,5.499010403253734580e-06
8.460000000000000000e+02,6.222482745288360206e-06
8.470000000000000000e+02,7.035508140740276417e-06
8.480000000000000000e+02,7.948402533930476466e-06
8.490000000000000000e+02,8.972570025411741312e-06
8.500000000000000000e+02,1.012060525806823819e-05
8.510000000000000000e+02,1.140640398222814156e-05
8.520000000000000000e+02,1.284528229117398723e-05
8.530000000000000000e+02,1.445410502909361128e-05
8.540000000000000000e+02,1.625142388306244356e-05
8.550000000000000000e+02,1.825762567975175443e-05
8.560000000000000000e+02,2.049509141244243438e-05
8.570000000000000000e+02,2.298836652347979737e-05
