Wavenumber(cm-1),Transmittance(%),Absorbance(A.U.)
5.550000000000000000e+02,9.383922244701754778e+01,2.027615599447180728e+00
5.560000000000000000e+02,9.390769290874459330e+01,2.027298828916347606e+00
5.570000000000000000e+02,9.397858952944513078e+01,2.026971077340047334e+00
5.580000000000000000e+02,9.405214800124394969e+01,2.026631281406162444e+00
5.590000000000000000e+02,9.412840278052979670e+01,2.026279310583060322e+00
5.600000000000000000e+02,9.420709197642315758e+01,2.025916401981104009e+00
5.610000000000000000e+02,9.428758909594066040e+01,2.025545468894378587e+00
5.620000000000000000e+02,9.436887436283838326e+01,2.025171225209205783e+00
5.630000000000000000e+02,9.444955046631444873e+01,2.024800104766643738e+00
5.640000000000000000e+02,9.452789806186484611e+01,2.024439999043633698e+00
5.650000000000000000e+02,9.460195853851908510e+01,2.024099872333232852e+00
5.660000000000000000e+02,9.466962802355978113e+01,2.023789329311616036e+00
5.670000000000000000e+02,9.472874784178266339e+01,2.023518203315504138e+00
5.680000000000000000e+02,9.477718128089648530e+01,2.023296211572004566e+00
5.690000000000000000e+02,9.481287226681654090e+01,2.023132696681515075e+00
5.700000000000000000e+02,9.483388645909734294e+01,2.023036450926007923e+00
5.710000000000000000e+02,9.483843832420160425e+01,2.023015606030477809e+00
5.720000000000000000e+02,9.482490886190812773e+01,2.023077566033971486e+00
5.730000000000000000e+02,9.479185834310693792e+01,2.023228962540686737e+00
5.740000000000000000e+02,9.473803731558389529e+01,2.023475616777588915e+00
5.750000000000000000e+02,9.466239779095498363e+01,2.023822499084253490e+00
5.760000000000000000e+02,9.456410528427744566e+01,2.024273682152250231e+00
5.770000000000000000e+02,9.444255140081418176e+01,2.024832288807126179e+00
5.780000000000000000e+02,9.429736599495838334e+01,2.025500438225889877e+00
5.790000000000000000e+02,9.412842754864303174e+01,2.026279196306676411e+00
5.800000000000000000e+02,9.393587030028223239e+01,2.027168536607769855e+00
5.810000000000000000e+02,9.372008678224173650e+01,2.028167317930055003e+00
